specimen_id,catalog_number,kb_taxon_id,kb_scientific_name,dataset_genus,dataset_species,source_split,dorsal_image_path,dorsal_exists,dorsal_width,dorsal_height,head_image_path,head_exists,head_width,head_height,profile_image_path,profile_exists,profile_width,profile_height,all_views_present,all_view_files_exist,duplicate_view_counts,readiness_status,notes
casent0912650,casent0912650,crematogaster,Crematogaster,Crematogaster,castanea,test,data/raw/images/crematogaster_castanea/casent0912650_d.jpg,true,233,170,data/raw/images/crematogaster_castanea/casent0912650_h.jpg,true,233,174,data/raw/images/crematogaster_castanea/casent0912650_p.jpg,true,233,118,true,true,"dorsal:1,head:1,profile:1",ready,
casent0766199,casent0766199,crematogaster,Crematogaster,Crematogaster,crinosa,test,data/raw/images/crematogaster_crinosa/casent0766199_d.jpg,true,233,160,data/raw/images/crematogaster_crinosa/casent0766199_h.jpg,true,233,146,data/raw/images/crematogaster_crinosa/casent0766199_p.jpg,true,233,172,true,true,"dorsal:1,head:1,profile:1",ready,
casent0141548,casent0141548,crematogaster,Crematogaster,Crematogaster,ranavalonae,test,data/raw/images/crematogaster_ranavalonae/casent0141548_d.jpg,true,233,168,data/raw/images/crematogaster_ranavalonae/casent0141548_h.jpg,true,233,162,data/raw/images/crematogaster_ranavalonae/casent0141548_p.jpg,true,233,156,true,true,"dorsal:1,head:1,profile:1",ready,
casent0912738,casent0912738,crematogaster,Crematogaster,Crematogaster,stadelmanni,test,data/raw/images/crematogaster_stadelmanni/casent0912738_d.jpg,true,233,174,data/raw/images/crematogaster_stadelmanni/casent0912738_h.jpg,true,233,168,data/raw/images/crematogaster_stadelmanni/casent0912738_p.jpg,true,233,108,true,true,"dorsal:1,head:1,profile:1",ready,
casent0912675,casent0912675,crematogaster,Crematogaster,Crematogaster,gerstaeckeri,test,data/raw/images/crematogaster_gerstaeckeri/casent0912675_d.jpg,true,233,161,data/raw/images/crematogaster_gerstaeckeri/casent0912675_h.jpg,true,233,169,data/raw/images/crematogaster_gerstaeckeri/casent0912675_p.jpg,true,233,108,true,true,"dorsal:1,head:1,profile:1",ready,
casent0106291,casent0106291,solenopsis,Solenopsis,Solenopsis,fugax,test,data/raw/images/solenopsis_fugax/casent0106291_d.jpg,true,233,173,data/raw/images/solenopsis_fugax/casent0106291_h.jpg,true,233,174,data/raw/images/solenopsis_fugax/casent0106291_p.jpg,true,233,168,true,true,"dorsal:1,head:1,profile:1",ready,
casent0104522,casent0104522,solenopsis,Solenopsis,Solenopsis,geminata,test,data/raw/images/solenopsis_geminata/casent0104522_d.jpg,true,233,175,data/raw/images/solenopsis_geminata/casent0104522_h.jpg,true,233,189,data/raw/images/solenopsis_geminata/casent0104522_p.jpg,true,233,185,true,true,"dorsal:1,head:1,profile:1",ready,
casent0173278,casent0173278,solenopsis,Solenopsis,Solenopsis,geminata,test,data/raw/images/solenopsis_geminata/casent0173278_d.jpg,true,233,175,data/raw/images/solenopsis_geminata/casent0173278_h.jpg,true,233,175,data/raw/images/solenopsis_geminata/casent0173278_p.jpg,true,233,175,true,true,"dorsal:1,head:1,profile:1",ready,
casent0171029,casent0171029,solenopsis,Solenopsis,Solenopsis,geminata,test,data/raw/images/solenopsis_geminata/casent0171029_d.jpg,true,233,130,data/raw/images/solenopsis_geminata/casent0171029_h.jpg,true,233,149,data/raw/images/solenopsis_geminata/casent0171029_p.jpg,true,233,135,true,true,"dorsal:1,head:1,profile:1",ready,
casent0913603,casent0913603,solenopsis,Solenopsis,Solenopsis,fugax,test,data/raw/images/solenopsis_fugax/casent0913603_d.jpg,true,233,152,data/raw/images/solenopsis_fugax/casent0913603_h.jpg,true,233,198,data/raw/images/solenopsis_fugax/casent0913603_p.jpg,true,233,111,true,true,"dorsal:1,head:1,profile:1",ready,
