specimen_id,catalog_number,kb_taxon_id,dataset_genus,dataset_species,trait_id,expected_views,available_views,usable_image_paths,used_in_key_rules,visibility_status,review_recommendation,notes
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,postpetiole_attachment,"dorsal, profile","dorsal, head, profile",dorsal:data/raw/images/crematogaster_castanea/casent0912650_d.jpg; profile:data/raw/images/crematogaster_castanea/casent0912650_p.jpg,true,ready_for_image_review,inspect_multiple_views,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,gaster_shape_dorsal,dorsal,"dorsal, head, profile",dorsal:data/raw/images/crematogaster_castanea/casent0912650_d.jpg,true,ready_for_image_review,inspect_dorsal,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,petiole_node_state,profile,"dorsal, head, profile",profile:data/raw/images/crematogaster_castanea/casent0912650_p.jpg,true,ready_for_image_review,inspect_profile,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,antenna_segment_count,head,"dorsal, head, profile",head:data/raw/images/crematogaster_castanea/casent0912650_h.jpg,true,ready_for_image_review,inspect_head,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,antennal_scrobe_position,"head, profile","dorsal, head, profile",head:data/raw/images/crematogaster_castanea/casent0912650_h.jpg; profile:data/raw/images/crematogaster_castanea/casent0912650_p.jpg,true,ready_for_image_review,inspect_multiple_views,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,antenna_club_segments,head,"dorsal, head, profile",head:data/raw/images/crematogaster_castanea/casent0912650_h.jpg,true,ready_for_image_review,inspect_head,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,spongiform_tissue_petiole_postpetiole,profile,"dorsal, head, profile",profile:data/raw/images/crematogaster_castanea/casent0912650_p.jpg,true,ready_for_image_review,inspect_profile,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,frontal_carinae_state,head,"dorsal, head, profile",head:data/raw/images/crematogaster_castanea/casent0912650_h.jpg,true,ready_for_image_review,inspect_head,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,clypeus_longitudinal_carinae,head,"dorsal, head, profile",head:data/raw/images/crematogaster_castanea/casent0912650_h.jpg,true,ready_for_image_review,inspect_head,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,propodeal_armament,"profile, dorsal","dorsal, head, profile",profile:data/raw/images/crematogaster_castanea/casent0912650_p.jpg; dorsal:data/raw/images/crematogaster_castanea/casent0912650_d.jpg,true,ready_for_image_review,inspect_multiple_views,
casent0912650,casent0912650,crematogaster,Crematogaster,castanea,mandible_tooth_count,head,"dorsal, head, profile",head:data/raw/images/crematogaster_castanea/casent0912650_h.jpg,true,ready_for_image_review,inspect_head,
casent0766199,casent0766199,crematogaster,Crematogaster,crinosa,postpetiole_attachment,"dorsal, profile","dorsal, head, profile",dorsal:data/raw/images/crematogaster_crinosa/casent0766199_d.jpg; profile:data/raw/images/crematogaster_crinosa/casent0766199_p.jpg,true,ready_for_image_review,inspect_multiple_views,
casent0766199,casent0766199,crematogaster,Crematogaster,crinosa,gaster_shape_dorsal,dorsal,"dorsal, head, profile",dorsal:data/raw/images/crematogaster_crinosa/casent0766199_d.jpg,true,ready_for_image_review,inspect_dorsal,
casent0766199,casent0766199,crematogaster,Crematogaster,crinosa,petiole_node_state,profile,"dorsal, head, profile",profile:data/raw/images/crematogaster_crinosa/casent0766199_p.jpg,true,ready_for_image_review,inspect_profile,
casent0766199,casent0766199,crematogaster,Crematogaster,crinosa,antenna_segment_count,head,"dorsal, head, profile",head:data/raw/images/crematogaster_crinosa/casent0766199_h.jpg,true,ready_for_image_review,inspect_head,
casent0766199,casent0766199,crematogaster,Crematogaster,crinosa,antennal_scrobe_position,"head, profile","dorsal, head, profile",head:data/raw/images/crematogaster_crinosa/casent0766199_h.jpg; profile:data/raw/images/crematogaster_crinosa/casent0766199_p.jpg,true,ready_for_image_review,inspect_multiple_views,
