trait_id,trait_name,allowed_values,visible_in_views,body_region,used_in_key_rules,key_rule_ids,affected_taxa,has_allowed_values,has_view_metadata,schema_readiness_status,notes
postpetiole_attachment,Postpetiole attachment,dorsal_surface_first_gastral_segment; anterior_face_first_gastral_segment; unknown,dorsal; profile,waist/gaster,true,"mem_myrmicinae_001a, mem_myrmicinae_001b","crematogaster, eurhopalothrix_floridana, solenopsis, strumigenys, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
gaster_shape_dorsal,Gaster shape in dorsal view,heart_shaped; not_heart_shaped; unknown,dorsal,gaster,true,"mem_myrmicinae_001a, mem_myrmicinae_001b","crematogaster, eurhopalothrix_floridana, solenopsis, strumigenys, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
petiole_node_state,Petiole node state,no_node_dorsoventrally_flattened; node_present_or_not_flattened; subsessile_node_weak; obvious_node_with_peduncle; unknown,profile,petiole,true,"mem_myrmicinae_001a, mem_myrmicinae_001b, mem_myrmicinae_006a, mem_myrmicinae_006b","crematogaster, eurhopalothrix_floridana, solenopsis, strumigenys, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
antenna_segment_count,Antenna segment count,4_to_6; 7; 9_to_11; 10; 11; unknown,head,antenna,true,"mem_myrmicinae_002a, mem_myrmicinae_002b, mem_myrmicinae_004a, mem_myrmicinae_004b, mem_myrmicinae_006a, mem_myrmicinae_006b","eurhopalothrix_floridana, solenopsis, strumigenys, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
antennal_scrobe_position,Antennal scrobe position,present_below_eye; absent_or_not_below_eye; broad_shallow_present; absent; unknown,head; profile,head,true,"mem_myrmicinae_002a, mem_myrmicinae_002b, mem_myrmicinae_005a, mem_myrmicinae_005b","eurhopalothrix_floridana, solenopsis, strumigenys, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
antenna_club_segments,Antenna club segment count,2; 3_or_more; unknown,head,antenna,true,"mem_myrmicinae_003a, mem_myrmicinae_003b","solenopsis, strumigenys, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
spongiform_tissue_petiole_postpetiole,Spongiform tissue on petiole/postpetiole,present; absent; unknown,profile,petiole/postpetiole,true,"mem_myrmicinae_004a, mem_myrmicinae_004b","solenopsis, strumigenys, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
frontal_carinae_state,Frontal carinae state,present_near_occipital_margin; absent; unknown,head,head,true,"mem_myrmicinae_005a, mem_myrmicinae_005b","solenopsis, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
clypeus_longitudinal_carinae,Clypeus longitudinal carinae,absent_pair; present_pair_medial_or_lateral; unknown,head,clypeus,true,"mem_myrmicinae_005a, mem_myrmicinae_005b","solenopsis, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
propodeal_armament,Propodeal armament,long_spines_pair; unarmed; unknown,profile; dorsal,propodeum,true,"mem_myrmicinae_005a, mem_myrmicinae_005b","solenopsis, wasmannia_auropunctata, xenomyrmex",true,true,ready_for_visibility_mapping,
mandible_tooth_count,Mandible tooth count,4; 5_or_6; unknown,head,mandible,true,"mem_myrmicinae_006a, mem_myrmicinae_006b","solenopsis, xenomyrmex",true,true,ready_for_visibility_mapping,
