specimen_id,catalog_number,kb_taxon_id,kb_scientific_name,dataset_genus,dataset_species,source_split,dorsal_image_path,head_image_path,profile_image_path,dorsal_image_id,head_image_id,profile_image_id,selection_reason,annotation_priority,tri_view_complete,notes,duplicate_view_counts
casent0912650,casent0912650,crematogaster,Crematogaster,Crematogaster,castanea,test,data/raw/images/crematogaster_castanea/casent0912650_d.jpg,data/raw/images/crematogaster_castanea/casent0912650_h.jpg,data/raw/images/crematogaster_castanea/casent0912650_p.jpg,casent0912650_d,casent0912650_h,casent0912650_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0766199,casent0766199,crematogaster,Crematogaster,Crematogaster,crinosa,test,data/raw/images/crematogaster_crinosa/casent0766199_d.jpg,data/raw/images/crematogaster_crinosa/casent0766199_h.jpg,data/raw/images/crematogaster_crinosa/casent0766199_p.jpg,casent0766199_d,casent0766199_h,casent0766199_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0141548,casent0141548,crematogaster,Crematogaster,Crematogaster,ranavalonae,test,data/raw/images/crematogaster_ranavalonae/casent0141548_d.jpg,data/raw/images/crematogaster_ranavalonae/casent0141548_h.jpg,data/raw/images/crematogaster_ranavalonae/casent0141548_p.jpg,casent0141548_d,casent0141548_h,casent0141548_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0912738,casent0912738,crematogaster,Crematogaster,Crematogaster,stadelmanni,test,data/raw/images/crematogaster_stadelmanni/casent0912738_d.jpg,data/raw/images/crematogaster_stadelmanni/casent0912738_h.jpg,data/raw/images/crematogaster_stadelmanni/casent0912738_p.jpg,casent0912738_d,casent0912738_h,casent0912738_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0912675,casent0912675,crematogaster,Crematogaster,Crematogaster,gerstaeckeri,test,data/raw/images/crematogaster_gerstaeckeri/casent0912675_d.jpg,data/raw/images/crematogaster_gerstaeckeri/casent0912675_h.jpg,data/raw/images/crematogaster_gerstaeckeri/casent0912675_p.jpg,casent0912675_d,casent0912675_h,casent0912675_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0106291,casent0106291,solenopsis,Solenopsis,Solenopsis,fugax,test,data/raw/images/solenopsis_fugax/casent0106291_d.jpg,data/raw/images/solenopsis_fugax/casent0106291_h.jpg,data/raw/images/solenopsis_fugax/casent0106291_p.jpg,casent0106291_d,casent0106291_h,casent0106291_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0104522,casent0104522,solenopsis,Solenopsis,Solenopsis,geminata,test,data/raw/images/solenopsis_geminata/casent0104522_d.jpg,data/raw/images/solenopsis_geminata/casent0104522_h.jpg,data/raw/images/solenopsis_geminata/casent0104522_p.jpg,casent0104522_d,casent0104522_h,casent0104522_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0173278,casent0173278,solenopsis,Solenopsis,Solenopsis,geminata,test,data/raw/images/solenopsis_geminata/casent0173278_d.jpg,data/raw/images/solenopsis_geminata/casent0173278_h.jpg,data/raw/images/solenopsis_geminata/casent0173278_p.jpg,casent0173278_d,casent0173278_h,casent0173278_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0171029,casent0171029,solenopsis,Solenopsis,Solenopsis,geminata,test,data/raw/images/solenopsis_geminata/casent0171029_d.jpg,data/raw/images/solenopsis_geminata/casent0171029_h.jpg,data/raw/images/solenopsis_geminata/casent0171029_p.jpg,casent0171029_d,casent0171029_h,casent0171029_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0913603,casent0913603,solenopsis,Solenopsis,Solenopsis,fugax,test,data/raw/images/solenopsis_fugax/casent0913603_d.jpg,data/raw/images/solenopsis_fugax/casent0913603_h.jpg,data/raw/images/solenopsis_fugax/casent0913603_p.jpg,casent0913603_d,casent0913603_h,casent0913603_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0158880,casent0158880,strumigenys,Strumigenys,Strumigenys,rogeri,test,data/raw/images/strumigenys_rogeri/casent0158880_d.jpg,data/raw/images/strumigenys_rogeri/casent0158880_h.jpg,data/raw/images/strumigenys_rogeri/casent0158880_p.jpg,casent0158880_d,casent0158880_h,casent0158880_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
focol2164,focol2164,strumigenys,Strumigenys,Strumigenys,louisianae,test,data/raw/images/strumigenys_louisianae/focol2164_d.jpg,data/raw/images/strumigenys_louisianae/focol2164_h.jpg,data/raw/images/strumigenys_louisianae/focol2164_p.jpg,focol2164_d,focol2164_h,focol2164_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
anic32-002156,anic32-002156,strumigenys,Strumigenys,Strumigenys,emmae,test,data/raw/images/strumigenys_emmae/anic32-002156_d.jpg,data/raw/images/strumigenys_emmae/anic32-002156_h.jpg,data/raw/images/strumigenys_emmae/anic32-002156_p.jpg,anic32-002156_d,anic32-002156_h,anic32-002156_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0909342,casent0909342,strumigenys,Strumigenys,Strumigenys,emmae,test,data/raw/images/strumigenys_emmae/casent0909342_d.jpg,data/raw/images/strumigenys_emmae/casent0909342_h.jpg,data/raw/images/strumigenys_emmae/casent0909342_p.jpg,casent0909342_d,casent0909342_h,casent0909342_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
focol2163,focol2163,strumigenys,Strumigenys,Strumigenys,louisianae,test,data/raw/images/strumigenys_louisianae/focol2163_d.jpg,data/raw/images/strumigenys_louisianae/focol2163_h.jpg,data/raw/images/strumigenys_louisianae/focol2163_p.jpg,focol2163_d,focol2163_h,focol2163_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0005665,casent0005665,wasmannia_auropunctata,Wasmannia auropunctata,Wasmannia,auropunctata,test,data/raw/images/wasmannia_auropunctata/casent0005665_d.jpg,data/raw/images/wasmannia_auropunctata/casent0005665_h.jpg,data/raw/images/wasmannia_auropunctata/casent0005665_p.jpg,casent0005665_d,casent0005665_h,casent0005665_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
casent0909213,casent0909213,wasmannia_auropunctata,Wasmannia auropunctata,Wasmannia,auropunctata,test,data/raw/images/wasmannia_auropunctata/casent0909213_d.jpg,data/raw/images/wasmannia_auropunctata/casent0909213_h.jpg,data/raw/images/wasmannia_auropunctata/casent0909213_p.jpg,casent0909213_d,casent0909213_h,casent0909213_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
focol0065-2,focol0065-2,wasmannia_auropunctata,Wasmannia auropunctata,Wasmannia,auropunctata,test,data/raw/images/wasmannia_auropunctata/focol0065-2_d.jpg,data/raw/images/wasmannia_auropunctata/focol0065-2_h.jpg,data/raw/images/wasmannia_auropunctata/focol0065-2_p.jpg,focol0065-2_d,focol0065-2_h,focol0065-2_p,deterministic_selection_from_test,high,true,"Selected using preferred_split=test, seed=42. Multi-image view resolving applied.","dorsal:1,head:1,profile:1"
